area_type,location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Built-up  Area,6th Phase JP Nagar,1140.0,2.0,2.0,65.0,2,5701.754385964912
Super built-up  Area,6th Phase JP Nagar,2040.0,3.0,2.0,200.0,3,9803.921568627451
Super built-up  Area,6th Phase JP Nagar,1213.0,2.0,1.0,63.0,2,5193.734542456719
Built-up  Area,6th Phase JP Nagar,1216.0,2.0,2.0,60.0,2,4934.210526315789
Super built-up  Area,6th Phase JP Nagar,1460.0,2.0,2.0,80.0,2,5479.45205479452
Super built-up  Area,6th Phase JP Nagar,2003.0,3.0,3.0,200.0,3,9985.022466300548
Super built-up  Area,6th Phase JP Nagar,1810.0,3.0,3.0,131.0,3,7237.5690607734805
Super built-up  Area,6th Phase JP Nagar,1515.0,2.0,2.0,135.0,3,8910.89108910891
Super built-up  Area,6th Phase JP Nagar,1192.0,2.0,3.0,75.0,2,6291.946308724832
Super built-up  Area,6th Phase JP Nagar,1280.0,2.0,1.0,88.0,2,6875.0
Built-up  Area,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2,6666.666666666667
Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2,7322.834645669292
Built-up  Area,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3,7042.2535211267605
Built-up  Area,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3,8108.108108108108
Built-up  Area,7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2,7550.2008032128515
Super built-up  Area,7th Phase JP Nagar,1175.0,2.0,1.0,82.0,2,6978.723404255319
Super built-up  Area,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3,6785.714285714285
Super built-up  Area,7th Phase JP Nagar,2225.0,3.0,1.0,160.0,3,7191.011235955056
Built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,71.0,2,6761.9047619047615
Built-up  Area,7th Phase JP Nagar,918.0,2.0,1.0,50.49,2,5500.0
Super built-up  Area,7th Phase JP Nagar,1450.0,2.0,1.0,100.0,3,6896.551724137931
Super built-up  Area,7th Phase JP Nagar,1420.0,2.0,2.0,96.0,3,6760.56338028169
Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3,7142.857142857143
Super built-up  Area,7th Phase JP Nagar,980.0,2.0,2.0,69.0,2,7040.816326530612
Super built-up  Area,7th Phase JP Nagar,1180.0,2.0,2.0,72.0,2,6101.6949152542375
Built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,57.0,3,5428.571428571428
Built-up  Area,7th Phase JP Nagar,1400.0,3.0,1.0,115.0,3,8214.285714285714
Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,1.0,83.0,2,6535.433070866142
Built-up  Area,7th Phase JP Nagar,3300.0,4.0,0.0,150.0,4,4545.454545454545
Super built-up  Area,7th Phase JP Nagar,2503.0,4.0,0.0,188.0,4,7510.986815821015
Super built-up  Area,7th Phase JP Nagar,2200.0,3.0,2.0,190.0,3,8636.363636363636
Super built-up  Area,7th Phase JP Nagar,1250.0,3.0,2.0,65.0,3,5200.0
Super built-up  Area,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3,6984.126984126984
Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,2.0,140.0,3,7567.5675675675675
Built-up  Area,7th Phase JP Nagar,1575.0,2.0,2.0,120.0,3,7619.047619047619
Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,2.0,150.0,3,8108.108108108108
Super built-up  Area,7th Phase JP Nagar,1175.0,2.0,2.0,82.5,2,7021.276595744681
Built-up  Area,7th Phase JP Nagar,3300.0,4.0,3.0,160.0,3,4848.484848484848
Plot  Area,7th Phase JP Nagar,2200.0,4.0,2.0,105.0,3,4772.727272727273
Super built-up  Area,7th Phase JP Nagar,1215.0,2.0,2.0,90.0,2,7407.407407407408
Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2,7142.857142857143
Super built-up  Area,7th Phase JP Nagar,1300.0,3.0,2.0,89.13,3,6856.153846153846
Super built-up  Area,7th Phase JP Nagar,1130.0,2.0,2.0,73.0,2,6460.1769911504425
Super built-up  Area,7th Phase JP Nagar,1450.0,3.0,2.0,100.0,3,6896.551724137931
Super built-up  Area,7th Phase JP Nagar,1350.0,3.0,2.0,58.0,3,4296.2962962962965
Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,50.0,2,4761.9047619047615
Super built-up  Area,7th Phase JP Nagar,1275.0,2.0,1.0,87.0,2,6823.529411764706
Built-up  Area,7th Phase JP Nagar,1460.0,3.0,1.0,70.0,3,4794.520547945205
Super built-up  Area,7th Phase JP Nagar,1650.0,3.0,2.0,110.0,3,6666.666666666667
Built-up  Area,7th Phase JP Nagar,850.0,2.0,2.0,42.0,2,4941.176470588235
Built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3,6964.285714285715
Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3,8108.108108108108
Super built-up  Area,7th Phase JP Nagar,1236.0,2.0,2.0,61.33,2,4961.974110032363
Super built-up  Area,7th Phase JP Nagar,1000.0,2.0,2.0,53.0,2,5300.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3,7440.476190476191
Super built-up  Area,7th Phase JP Nagar,1675.0,2.0,2.0,135.0,3,8059.701492537313
Super built-up  Area,7th Phase JP Nagar,1187.0,2.0,1.0,59.0,2,4970.513900589722
Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,2.0,155.0,3,8378.378378378378
Built-up  Area,7th Phase JP Nagar,1000.0,2.0,1.0,61.0,2,6100.0
Super built-up  Area,7th Phase JP Nagar,1460.0,2.0,2.0,100.0,3,6849.315068493151
Super built-up  Area,7th Phase JP Nagar,1650.0,3.0,3.0,110.0,3,6666.666666666667
Super built-up  Area,7th Phase JP Nagar,1200.0,2.0,2.0,62.5,2,5208.333333333333
Super built-up  Area,7th Phase JP Nagar,1000.0,2.0,1.0,70.65,2,7065.000000000001
Super built-up  Area,7th Phase JP Nagar,1080.0,2.0,2.0,75.0,2,6944.444444444444
Built-up  Area,7th Phase JP Nagar,1415.0,3.0,1.0,65.0,3,4593.639575971732
Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,3.0,125.0,3,7440.476190476191
Super built-up  Area,7th Phase JP Nagar,1460.0,2.0,1.0,97.0,3,6643.835616438356
Built-up  Area,7th Phase JP Nagar,1120.0,2.0,2.0,65.0,2,5803.571428571428
Super built-up  Area,7th Phase JP Nagar,1100.0,3.0,1.0,60.0,2,5454.545454545455
Super built-up  Area,7th Phase JP Nagar,1790.0,3.0,3.0,120.0,3,6703.91061452514
Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3,6964.285714285715
Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,77.0,2,7333.333333333333
Super built-up  Area,7th Phase JP Nagar,1040.0,2.0,1.0,75.0,2,7211.538461538462
Super built-up  Area,7th Phase JP Nagar,1800.0,3.0,2.0,130.0,3,7222.222222222223
Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,0.0,68.0,2,6476.190476190476
Built-up  Area,7th Phase JP Nagar,1000.0,2.0,2.0,60.0,2,6000.0
Super built-up  Area,7th Phase JP Nagar,980.0,2.0,1.0,86.0,2,8775.510204081633
Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,77.47,2,7378.0952380952385
Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,1.0,80.0,2,6299.212598425197
Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,122.0,3,7261.9047619047615
Super built-up  Area,7th Phase JP Nagar,1130.0,2.0,2.0,85.0,2,7522.123893805309
Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,3.0,130.0,3,7738.0952380952385
Built-up  Area,7th Phase JP Nagar,2980.0,4.0,2.0,260.0,3,8724.832214765102
Built-up  Area,7th Phase JP Nagar,980.0,2.0,1.0,77.44,2,7902.040816326531
Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,112.0,3,6666.666666666667
Super built-up  Area,7th Phase JP Nagar,1515.0,2.0,1.0,76.0,3,5016.501650165016
Super built-up  Area,7th Phase JP Nagar,2095.0,3.0,2.0,150.0,3,7159.904534606205
Super built-up  Area,7th Phase JP Nagar,1976.0,3.0,1.0,145.0,3,7338.056680161943
Super built-up  Area,7th Phase JP Nagar,1600.0,2.0,2.0,110.0,3,6875.0
Super built-up  Area,7th Phase JP Nagar,1765.0,3.0,2.0,118.0,3,6685.552407932011
Built-up  Area,7th Phase JP Nagar,1275.0,2.0,2.0,88.0,3,6901.9607843137255
Super built-up  Area,7th Phase JP Nagar,1450.0,2.0,1.0,102.0,3,7034.482758620689
Built-up  Area,7th Phase JP Nagar,1075.0,2.0,1.0,57.0,3,5302.325581395349
Super built-up  Area,7th Phase JP Nagar,750.0,1.0,2.0,47.0,1,6266.666666666667
Super built-up  Area,7th Phase JP Nagar,990.0,2.0,2.0,50.0,2,5050.50505050505
Plot  Area,7th Phase JP Nagar,1000.0,1.0,1.0,60.0,1,6000.0
Super built-up  Area,7th Phase JP Nagar,1680.0,2.0,3.0,92.0,3,5476.190476190476
Super built-up  Area,7th Phase JP Nagar,1430.0,2.0,1.0,102.0,3,7132.867132867133
Super built-up  Area,7th Phase JP Nagar,1128.0,2.0,1.0,60.0,2,5319.148936170212
Built-up  Area,7th Phase JP Nagar,1140.0,2.0,1.0,57.0,2,5000.0
Super built-up  Area,7th Phase JP Nagar,1420.0,3.0,2.0,90.0,3,6338.028169014085
Super built-up  Area,7th Phase JP Nagar,1530.0,2.0,1.0,108.0,2,7058.823529411765
Super built-up  Area,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2,5030.740568234746
Super built-up  Area,8th Phase JP Nagar,451.0,1.0,0.0,29.9,1,6629.711751662971
Super built-up  Area,8th Phase JP Nagar,1240.0,3.0,2.0,43.5,3,3508.064516129032
Super built-up  Area,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2,3999.0583804143125
Super built-up  Area,8th Phase JP Nagar,1230.0,2.0,2.0,43.5,3,3536.5853658536585
Super built-up  Area,8th Phase JP Nagar,1455.0,3.0,2.0,73.31,3,5038.487972508591
Super built-up  Area,8th Phase JP Nagar,871.0,2.0,2.0,55.0,2,6314.580941446613
Super built-up  Area,8th Phase JP Nagar,1098.0,2.0,1.0,43.91,2,3999.089253187614
Super built-up  Area,8th Phase JP Nagar,1800.0,3.0,1.0,80.0,3,4444.444444444444
Built-up  Area,8th Phase JP Nagar,2700.0,4.0,2.0,130.0,4,4814.814814814815
Super built-up  Area,8th Phase JP Nagar,1080.0,2.0,2.0,38.0,2,3518.5185185185187
Super built-up  Area,8th Phase JP Nagar,1059.0,2.0,2.0,34.5,2,3257.790368271955
Super built-up  Area,8th Phase JP Nagar,1080.0,2.0,2.0,35.0,2,3240.740740740741
Super built-up  Area,8th Phase JP Nagar,1275.0,2.0,2.0,41.5,3,3254.901960784314
Super built-up  Area,8th Phase JP Nagar,500.0,1.0,1.0,31.0,1,6200.0
Super built-up  Area,8th Phase JP Nagar,1100.0,2.0,2.0,35.0,2,3181.818181818182
Super built-up  Area,8th Phase JP Nagar,2100.0,4.0,3.0,92.0,4,4380.952380952381
Super built-up  Area,8th Phase JP Nagar,1035.0,2.0,1.0,39.33,2,3800.0
Super built-up  Area,8th Phase JP Nagar,909.0,2.0,1.0,40.9,2,4499.4499449945
Super built-up  Area,8th Phase JP Nagar,1431.5,3.0,0.0,72.02,3,5031.086273140063
Built-up  Area,8th Phase JP Nagar,1900.0,4.0,1.0,90.0,3,4736.8421052631575
Super built-up  Area,8th Phase JP Nagar,500.0,1.0,1.0,30.0,1,6000.0
Super built-up  Area,8th Phase JP Nagar,1125.0,2.0,2.0,36.94,2,3283.5555555555557
Super built-up  Area,8th Phase JP Nagar,1100.0,2.0,3.0,35.0,2,3181.818181818182
Super built-up  Area,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2,3999.0817263544536
Super built-up  Area,8th Phase JP Nagar,1605.0,2.0,2.0,65.0,3,4049.8442367601247
Super built-up  Area,8th Phase JP Nagar,1504.0,2.0,2.0,83.0,3,5518.617021276596
Built-up  Area,8th Phase JP Nagar,2600.0,4.0,2.0,115.0,4,4423.076923076923
Super built-up  Area,8th Phase JP Nagar,1368.0,2.0,1.0,54.71,3,3999.2690058479534
Super built-up  Area,8th Phase JP Nagar,1224.0,2.0,2.0,48.95,3,3999.1830065359477
Super built-up  Area,8th Phase JP Nagar,1513.0,2.0,3.0,62.0,2,4097.818902842036
Built-up  Area,8th Phase JP Nagar,1298.0,2.0,1.0,59.0,2,4545.454545454545
Built-up  Area,8th Phase JP Nagar,1006.0,2.0,0.0,44.0,2,4373.75745526839
Carpet  Area,8th Phase JP Nagar,500.0,1.0,1.0,33.0,1,6600.0
Super built-up  Area,8th Phase JP Nagar,1160.0,2.0,1.0,95.0,2,8189.6551724137935
Super built-up  Area,8th Phase JP Nagar,1245.0,2.0,1.0,59.0,2,4738.955823293173
Super built-up  Area,8th Phase JP Nagar,1510.0,2.0,3.0,80.0,2,5298.013245033113
Super built-up  Area,8th Phase JP Nagar,3300.0,3.0,2.0,165.0,3,5000.0
Built-up  Area,8th Phase JP Nagar,1730.0,5.0,2.0,75.0,5,4335.260115606937
Super built-up  Area,8th Phase JP Nagar,1296.0,2.0,2.0,51.83,3,3999.2283950617284
Super built-up  Area,8th Phase JP Nagar,1275.0,3.0,2.0,45.0,3,3529.4117647058824
Super built-up  Area,8th Phase JP Nagar,1046.0,2.0,1.0,48.0,2,4588.910133843212
Super built-up  Area,8th Phase JP Nagar,1269.0,2.0,3.0,50.75,3,3999.211977935382
Super built-up  Area,8th Phase JP Nagar,1408.0,3.0,2.0,80.0,3,5681.818181818182
Super built-up  Area,8th Phase JP Nagar,1500.0,2.0,3.0,55.0,3,3666.6666666666665
Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2,4975.124378109453
Built-up  Area,9th Phase JP Nagar,1890.0,2.0,2.0,85.0,3,4497.354497354498
Super built-up  Area,9th Phase JP Nagar,1100.0,2.0,1.0,65.0,2,5909.090909090909
Super built-up  Area,9th Phase JP Nagar,1080.0,2.0,2.0,37.0,2,3425.925925925926
Built-up  Area,9th Phase JP Nagar,1035.0,2.0,1.0,45.0,2,4347.826086956522
Built-up  Area,9th Phase JP Nagar,5000.0,4.0,3.0,290.0,4,5800.0
Built-up  Area,9th Phase JP Nagar,1164.0,2.0,1.0,56.0,2,4810.996563573884
Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,1.0,42.0,2,4179.104477611941
Super built-up  Area,9th Phase JP Nagar,1127.0,2.0,1.0,50.0,2,4436.557231588287
Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,1.0,43.0,2,4278.606965174129
Built-up  Area,9th Phase JP Nagar,835.0,2.0,0.0,37.0,2,4431.137724550898
Super built-up  Area,9th Phase JP Nagar,1050.0,2.0,2.0,39.0,2,3714.285714285714
Super built-up  Area,9th Phase JP Nagar,660.0,2.0,0.0,27.0,2,4090.909090909091
Built-up  Area,9th Phase JP Nagar,600.0,1.0,0.0,20.0,1,3333.3333333333335
Super built-up  Area,9th Phase JP Nagar,1466.0,2.0,2.0,71.0,2,4843.110504774898
Built-up  Area,9th Phase JP Nagar,1890.0,2.0,2.0,93.0,3,4920.6349206349205
Super built-up  Area,9th Phase JP Nagar,1079.0,2.0,1.0,60.0,2,5560.704355885079
Super built-up  Area,9th Phase JP Nagar,1480.0,2.0,1.0,80.0,2,5405.405405405405
Plot  Area,9th Phase JP Nagar,1200.0,2.0,0.0,80.0,2,6666.666666666667
Super built-up  Area,9th Phase JP Nagar,905.0,2.0,1.0,32.0,2,3535.9116022099447
Super built-up  Area,9th Phase JP Nagar,1073.0,2.0,1.0,52.36,2,4879.77632805219
Super built-up  Area,9th Phase JP Nagar,1719.3,2.0,2.0,88.0,3,5118.362124120282
Super built-up  Area,9th Phase JP Nagar,1780.0,3.0,2.0,88.0,3,4943.820224719101
Built-up  Area,9th Phase JP Nagar,1300.0,2.0,2.0,58.0,3,4461.538461538462
Super built-up  Area,9th Phase JP Nagar,1522.0,3.0,2.0,90.0,3,5913.272010512484
Super built-up  Area,9th Phase JP Nagar,1571.0,3.0,2.0,65.0,3,4137.492043284532
Built-up  Area,9th Phase JP Nagar,1900.0,4.0,2.0,80.0,4,4210.526315789473
Built-up  Area,9th Phase JP Nagar,890.0,2.0,2.0,45.0,2,5056.179775280899
Super built-up  Area,9th Phase JP Nagar,1240.0,2.0,2.0,39.89,3,3216.935483870968
Built-up  Area,9th Phase JP Nagar,5000.0,4.0,2.0,300.0,4,6000.0
Super built-up  Area,9th Phase JP Nagar,1240.0,2.0,2.0,42.85,3,3455.6451612903224
Super built-up  Area,9th Phase JP Nagar,1050.0,2.0,2.0,35.0,2,3333.3333333333335
Super built-up  Area,9th Phase JP Nagar,1331.95,2.0,2.0,69.0,2,5180.374638687638
Super built-up  Area,AECS Layout,1100.0,2.0,3.0,45.0,2,4090.909090909091
Super built-up  Area,AECS Layout,1028.0,2.0,1.0,42.0,2,4085.603112840467
Super built-up  Area,AECS Layout,1199.0,2.0,2.0,65.0,2,5421.184320266889
Super built-up  Area,AECS Layout,1080.0,2.0,2.0,55.0,2,5092.592592592592
Super built-up  Area,AECS Layout,1123.0,2.0,2.0,64.0,2,5699.020480854853
Super built-up  Area,AECS Layout,1308.0,2.0,1.0,60.0,2,4587.155963302752
Super built-up  Area,AECS Layout,1005.0,2.0,1.0,55.0,2,5472.636815920398
Built-up  Area,AECS Layout,2000.0,3.0,1.0,90.0,3,4500.0
Super built-up  Area,Abbigere,985.0,2.0,1.0,40.39,2,4100.507614213198
Built-up  Area,Abbigere,2200.0,6.0,2.0,68.0,6,3090.909090909091
Super built-up  Area,Abbigere,765.0,2.0,2.0,30.0,1,3921.5686274509803
Super built-up  Area,Abbigere,880.0,2.0,1.0,35.0,2,3977.2727272727275
Super built-up  Area,Abbigere,795.0,2.0,1.0,32.54,2,4093.0817610062895
Super built-up  Area,Abbigere,1005.0,2.0,1.0,39.59,2,3939.303482587065
Super built-up  Area,Abbigere,734.0,1.0,0.0,19.82,1,2700.272479564033
Super built-up  Area,Abbigere,1260.0,2.0,1.0,45.0,3,3571.4285714285716
Super built-up  Area,Abbigere,1020.0,2.0,1.0,41.82,2,4100.0
Super built-up  Area,Abbigere,1326.0,2.0,1.0,34.8,3,2624.434389140271
Super built-up  Area,Abbigere,1326.0,2.0,1.0,35.0,3,2639.517345399698
Built-up  Area,Abbigere,2500.0,6.0,0.0,81.0,6,3240.0
Super built-up  Area,Abbigere,1130.0,2.0,1.0,46.33,2,4100.0
Super built-up  Area,Abbigere,795.0,1.0,1.0,32.6,2,4100.62893081761
Built-up  Area,Abbigere,3000.0,8.0,0.0,150.0,8,5000.0
Super built-up  Area,Abbigere,985.0,2.0,1.0,38.92,2,3951.269035532995
Super built-up  Area,Abbigere,1000.0,2.0,1.0,41.0,2,4100.0
Super built-up  Area,Abbigere,995.0,2.0,1.0,40.8,2,4100.5025125628135
Super built-up  Area,Abbigere,1020.0,2.0,1.0,40.8,2,3999.9999999999995
Super built-up  Area,Akshaya Nagar,1388.0,2.0,3.0,57.0,2,4106.628242074928
Super built-up  Area,Akshaya Nagar,1070.0,2.0,1.0,54.0,2,5046.728971962617
Built-up  Area,Akshaya Nagar,1280.0,2.0,2.0,58.0,2,4531.25
Built-up  Area,Akshaya Nagar,1662.0,3.0,3.0,85.1,3,5120.336943441636
Super built-up  Area,Akshaya Nagar,1897.0,3.0,2.0,120.0,3,6325.77754348972
Super built-up  Area,Akshaya Nagar,1410.0,2.0,2.0,75.0,3,5319.148936170212
Super built-up  Area,Akshaya Nagar,1360.0,2.0,2.0,85.0,3,6250.0
Super built-up  Area,Akshaya Nagar,1600.0,2.0,2.0,65.0,3,4062.5
Super built-up  Area,Akshaya Nagar,1410.0,2.0,2.0,80.0,3,5673.758865248227
Built-up  Area,Akshaya Nagar,1662.0,3.0,2.0,85.0,3,5114.320096269555
Built-up  Area,Akshaya Nagar,1662.0,3.0,2.0,85.5,3,5144.404332129964
Built-up  Area,Akshaya Nagar,1280.0,2.0,1.0,60.0,2,4687.5
Built-up  Area,Akshaya Nagar,1666.0,3.0,2.0,95.0,3,5702.280912364946
Super built-up  Area,Akshaya Nagar,1575.0,3.0,2.0,90.0,3,5714.285714285715
Super built-up  Area,Akshaya Nagar,1430.0,2.0,2.0,75.0,3,5244.755244755244
Built-up  Area,Akshaya Nagar,1419.0,2.0,3.0,73.0,3,5144.46793516561
Super built-up  Area,Akshaya Nagar,1280.0,2.0,1.0,60.0,2,4687.5
Super built-up  Area,Akshaya Nagar,1200.0,2.0,1.0,50.0,2,4166.666666666667
Super built-up  Area,Akshaya Nagar,1092.0,2.0,1.0,60.0,2,5494.505494505494
Super built-up  Area,Akshaya Nagar,1690.0,3.0,2.0,85.0,3,5029.585798816568
Super built-up  Area,Akshaya Nagar,1700.0,3.0,1.0,80.0,3,4705.882352941177
